,precipitation,t -1,t -2,t -3,t -4,t -5,t -6,t -7,t -8,t -9,t -10,t -11,t -12,t -13,t -14,t -15,t -16,t -17,t -18,t -19,t -20,t -21,t -22,t -23
62,101.0221,6.0,150.0,35.0,0.0,242.0,572.0,1958.0,3401.0,1691.0,86.0,48.0,17.0,78.0,4.0,0.0,120.0,627.0,746.0,1880.0,2536.0,1218.0,93.0,68.0
63,100.8812,0.0,6.0,150.0,35.0,0.0,242.0,572.0,1958.0,3401.0,1691.0,86.0,48.0,17.0,78.0,4.0,0.0,120.0,627.0,746.0,1880.0,2536.0,1218.0,93.0
64,76.876,106.0,0.0,6.0,150.0,35.0,0.0,242.0,572.0,1958.0,3401.0,1691.0,86.0,48.0,17.0,78.0,4.0,0.0,120.0,627.0,746.0,1880.0,2536.0,1218.0
65,33.2783,12.0,106.0,0.0,6.0,150.0,35.0,0.0,242.0,572.0,1958.0,3401.0,1691.0,86.0,48.0,17.0,78.0,4.0,0.0,120.0,627.0,746.0,1880.0,2536.0
66,0.894,1408.0,12.0,106.0,0.0,6.0,150.0,35.0,0.0,242.0,572.0,1958.0,3401.0,1691.0,86.0,48.0,17.0,78.0,4.0,0.0,120.0,627.0,746.0,1880.0
67,11.7729,2822.0,1408.0,12.0,106.0,0.0,6.0,150.0,35.0,0.0,242.0,572.0,1958.0,3401.0,1691.0,86.0,48.0,17.0,78.0,4.0,0.0,120.0,627.0,746.0
68,1.0001,3087.0,2822.0,1408.0,12.0,106.0,0.0,6.0,150.0,35.0,0.0,242.0,572.0,1958.0,3401.0,1691.0,86.0,48.0,17.0,78.0,4.0,0.0,120.0,627.0
69,35.3441,1290.0,3087.0,2822.0,1408.0,12.0,106.0,0.0,6.0,150.0,35.0,0.0,242.0,572.0,1958.0,3401.0,1691.0,86.0,48.0,17.0,78.0,4.0,0.0,120.0
70,123.8429,402.0,1290.0,3087.0,2822.0,1408.0,12.0,106.0,0.0,6.0,150.0,35.0,0.0,242.0,572.0,1958.0,3401.0,1691.0,86.0,48.0,17.0,78.0,4.0,0.0
71,41.5006,0.0,402.0,1290.0,3087.0,2822.0,1408.0,12.0,106.0,0.0,6.0,150.0,35.0,0.0,242.0,572.0,1958.0,3401.0,1691.0,86.0,48.0,17.0,78.0,4.0
72,203.7425,1.0,0.0,402.0,1290.0,3087.0,2822.0,1408.0,12.0,106.0,0.0,6.0,150.0,35.0,0.0,242.0,572.0,1958.0,3401.0,1691.0,86.0,48.0,17.0,78.0
73,129.8573,55.0,1.0,0.0,402.0,1290.0,3087.0,2822.0,1408.0,12.0,106.0,0.0,6.0,150.0,35.0,0.0,242.0,572.0,1958.0,3401.0,1691.0,86.0,48.0,17.0
74,149.9043,85.0,55.0,1.0,0.0,402.0,1290.0,3087.0,2822.0,1408.0,12.0,106.0,0.0,6.0,150.0,35.0,0.0,242.0,572.0,1958.0,3401.0,1691.0,86.0,48.0
75,89.4119,88.0,85.0,55.0,1.0,0.0,402.0,1290.0,3087.0,2822.0,1408.0,12.0,106.0,0.0,6.0,150.0,35.0,0.0,242.0,572.0,1958.0,3401.0,1691.0,86.0
