,precipitation,t -1,t -2,t -3,t -4,t -5,t -6,t -7,t -8,t -9,t -10,t -11,t -12,t -13,t -14,t -15,t -16,t -17,t -18,t -19,t -20,t -21,t -22,t -23
45,91.9665,1178.0,1098.0,1163.0,1617.0,1686.0,1271.0,1025.0,1019.0,1079.0,1011.0,1019.0,999.0,986.0,1209.0,1341.0,1287.0,1571.0,1643.0,1378.0,1433.0,1507.0,1652.0,1804.0
46,153.10299999999998,1060.0,1178.0,1098.0,1163.0,1617.0,1686.0,1271.0,1025.0,1019.0,1079.0,1011.0,1019.0,999.0,986.0,1209.0,1341.0,1287.0,1571.0,1643.0,1378.0,1433.0,1507.0,1652.0
47,279.7197,1044.0,1060.0,1178.0,1098.0,1163.0,1617.0,1686.0,1271.0,1025.0,1019.0,1079.0,1011.0,1019.0,999.0,986.0,1209.0,1341.0,1287.0,1571.0,1643.0,1378.0,1433.0,1507.0
48,279.7602,1024.0,1044.0,1060.0,1178.0,1098.0,1163.0,1617.0,1686.0,1271.0,1025.0,1019.0,1079.0,1011.0,1019.0,999.0,986.0,1209.0,1341.0,1287.0,1571.0,1643.0,1378.0,1433.0
49,135.3461,954.0,1024.0,1044.0,1060.0,1178.0,1098.0,1163.0,1617.0,1686.0,1271.0,1025.0,1019.0,1079.0,1011.0,1019.0,999.0,986.0,1209.0,1341.0,1287.0,1571.0,1643.0,1378.0
50,147.097,862.0,954.0,1024.0,1044.0,1060.0,1178.0,1098.0,1163.0,1617.0,1686.0,1271.0,1025.0,1019.0,1079.0,1011.0,1019.0,999.0,986.0,1209.0,1341.0,1287.0,1571.0,1643.0
51,35.5575,785.0,862.0,954.0,1024.0,1044.0,1060.0,1178.0,1098.0,1163.0,1617.0,1686.0,1271.0,1025.0,1019.0,1079.0,1011.0,1019.0,999.0,986.0,1209.0,1341.0,1287.0,1571.0
52,29.6653,840.0,785.0,862.0,954.0,1024.0,1044.0,1060.0,1178.0,1098.0,1163.0,1617.0,1686.0,1271.0,1025.0,1019.0,1079.0,1011.0,1019.0,999.0,986.0,1209.0,1341.0,1287.0
53,40.971000000000004,809.0,840.0,785.0,862.0,954.0,1024.0,1044.0,1060.0,1178.0,1098.0,1163.0,1617.0,1686.0,1271.0,1025.0,1019.0,1079.0,1011.0,1019.0,999.0,986.0,1209.0,1341.0
54,12.0392,848.0,809.0,840.0,785.0,862.0,954.0,1024.0,1044.0,1060.0,1178.0,1098.0,1163.0,1617.0,1686.0,1271.0,1025.0,1019.0,1079.0,1011.0,1019.0,999.0,986.0,1209.0
55,0.7515,888.0,848.0,809.0,840.0,785.0,862.0,954.0,1024.0,1044.0,1060.0,1178.0,1098.0,1163.0,1617.0,1686.0,1271.0,1025.0,1019.0,1079.0,1011.0,1019.0,999.0,986.0
56,12.835,933.0,888.0,848.0,809.0,840.0,785.0,862.0,954.0,1024.0,1044.0,1060.0,1178.0,1098.0,1163.0,1617.0,1686.0,1271.0,1025.0,1019.0,1079.0,1011.0,1019.0,999.0
57,6.9763,815.0,933.0,888.0,848.0,809.0,840.0,785.0,862.0,954.0,1024.0,1044.0,1060.0,1178.0,1098.0,1163.0,1617.0,1686.0,1271.0,1025.0,1019.0,1079.0,1011.0,1019.0
58,70.4533,828.0,815.0,933.0,888.0,848.0,809.0,840.0,785.0,862.0,954.0,1024.0,1044.0,1060.0,1178.0,1098.0,1163.0,1617.0,1686.0,1271.0,1025.0,1019.0,1079.0,1011.0
59,310.8277,834.0,828.0,815.0,933.0,888.0,848.0,809.0,840.0,785.0,862.0,954.0,1024.0,1044.0,1060.0,1178.0,1098.0,1163.0,1617.0,1686.0,1271.0,1025.0,1019.0,1079.0
